result_file	timestamp	model_key	model_class	feature_set	components	embedding_mode	features	cv_folds	best_fold	best_fold_auc	has_heldout_predictions	cv_mean_auc_roc	cv_std_auc_roc	cv_mean_auc_pr	cv_std_auc_pr	cv_mean_accuracy	cv_std_accuracy	cv_mean_f1	cv_std_f1	cv_mean_mcc	cv_std_mcc	cv_mean_sensitivity	cv_std_sensitivity	cv_mean_specificity	cv_std_specificity	cv_mean_ppv	cv_std_ppv	cv_mean_npv	cv_std_npv	heldout_auc_roc	heldout_auc_pr	heldout_accuracy	heldout_f1	heldout_mcc	heldout_sensitivity	heldout_specificity	heldout_ppv	heldout_npv
models/cv_results_lr_handcrafted_blosum_esmc_20260506_155159.json	20260506_155159	lr	sklearn.linear_model.LogisticRegression	handcrafted_blosum_esmc	['handcrafted', 'blosum', 'esmc']	esmc_pca	781	5	0	0.760928519346152	True	0.7493135238078823	0.007969311155481088	0.6942602767123722	0.007831662608279761	0.6835642071922975	0.007829390451361159	0.657678649555715	0.009631921569909403	0.36571121267729256	0.015833962978649297	0.6870478818300659	0.010343552559080859	0.6808709719389208	0.008611478536268403	0.630815083256	0.011869377481859334	0.7327025771044073	0.008242286494553216	0.752760079467103	0.6871787653770515	0.6884115319389486	0.6613418530351438	0.3756289629327449	0.6953488372093023	0.6830150753768844	0.630506091846298	0.7424076906270483
models/cv_results_lr_handcrafted_sparse_esmc_20260506_155022.json	20260506_155022	lr	sklearn.linear_model.LogisticRegression	handcrafted_sparse_esmc	['handcrafted', 'sparse', 'esmc']	esmc_pca	781	5	0	0.7610532675233707	True	0.7494114844957027	0.007941764181116	0.6941279139262361	0.007829277883784598	0.6837451182452791	0.008175463386677777	0.6577982583051656	0.009732515255351832	0.36603652047168056	0.016348182291026966	0.6869960906961791	0.009745267722588456	0.6812422373865616	0.00960139047214475	0.6310834882179923	0.012514312150119087	0.7327652491872293	0.008029251188827307	0.752515783049615	0.686535023442268	0.6876201243640475	0.6605234058238113	0.37405821530517275	0.6945736434108527	0.6822110552763819	0.6296556570625439	0.7416958041958042
models/cv_results_lr_all_sparse_20260506_195237.json	20260506_195237	lr	sklearn.linear_model.LogisticRegression	all_sparse	['handcrafted', 'sparse', 'esmc', 'esmif']	all_pca	931	5	0	0.758622720153391	True	0.7483757655173067	0.008418359492824394	0.6932745732295278	0.007941690023311751	0.6827955671871443	0.007244766746954	0.6559454302230957	0.007420182112149272	0.36365476990217904	0.014190676098288365	0.6833525982263572	0.007416371637028783	0.6824305270935022	0.009548093326552374	0.6307474833136728	0.010727236366833365	0.7307921924952824	0.008219352983390684	0.7511436251022554	0.6874682431144044	0.6878462408140192	0.6595141201134542	0.37375635825815245	0.6909560723514212	0.685427135678392	0.6308091531021467	0.7403386886669562
models/cv_results_lr_all_blosum_20260506_195603.json	20260506_195603	lr	sklearn.linear_model.LogisticRegression	all_blosum	['handcrafted', 'blosum', 'esmc', 'esmif']	all_pca	931	5	0	0.7586904967221163	True	0.7483552742691533	0.008652324056478054	0.6933895745247538	0.007957827766600192	0.6828182095058629	0.0069602281019540135	0.6562769363845318	0.007328513670782117	0.36386831278357595	0.013755019483223142	0.6843264133113082	0.008017537207331898	0.6816984677083091	0.008783289242285278	0.6305302377588502	0.010206962071408867	0.7311950756639061	0.00841152274689225	0.7509014841650111	0.6873929996849948	0.6866026003391746	0.6585365853658537	0.3714730929104031	0.6906976744186046	0.6834170854271356	0.6292372881355932	0.7396127909506199
models/cv_results_lr_handcrafted_sparse_esmif_20260506_182702.json	20260506_182702	lr	sklearn.linear_model.LogisticRegression	handcrafted_sparse_esmif	['handcrafted', 'sparse', 'esmif']	esmif_pca	781	5	4	0.7449244483143564	True	0.7339136774444311	0.008813939869556324	0.6794730249645743	0.007536854944348718	0.6715355431108291	0.004408293236337546	0.6435648847039743	0.005080301854241352	0.3409734323154767	0.009590227068251229	0.6702501143513945	0.011783346676485826	0.6727045286547406	0.006299664038721835	0.619097264643891	0.006798766572430948	0.719907471988705	0.010178960229994472	0.7354336021191228	0.6709813009649656	0.6739400791407575	0.6457872758535986	0.34654283519250595	0.679328165374677	0.6697487437185929	0.6154026217228464	0.7286245353159851
models/cv_results_lr_handcrafted_blosum_esmif_20260506_182847.json	20260506_182847	lr	sklearn.linear_model.LogisticRegression	handcrafted_blosum_esmif	['handcrafted', 'blosum', 'esmif']	esmif_pca	781	5	4	0.744957376838722	True	0.7337725659964006	0.008907749451408147	0.6794900953597885	0.00745911519407263	0.6718520703547812	0.004057336733455943	0.6441671746315144	0.0049628303131102405	0.34173653428883427	0.008919893644786545	0.6713628702139439	0.011221284480906552	0.67238068843403	0.005710696847069075	0.619250623708739	0.0068066710362787676	0.7204916222566564	0.009702593023137916	0.735380468232636	0.6707909926353195	0.6740531373657433	0.6457795798009583	0.34669349728676785	0.6790697674418604	0.6701507537688443	0.6156008432888265	0.728583916083916
models/cv_results_lr_handcrafted_sparse_20260506_151424.json	20260506_151424	lr	sklearn.linear_model.LogisticRegression	handcrafted_sparse	['handcrafted', 'sparse']	none	631	5	4	0.7342829079179868	True	0.7266766774214068	0.0077625212647741216	0.6720266918663687	0.00802325848248462	0.665362722507495	0.00487856775529788	0.6371639650602184	0.0070607413682698865	0.3286703198201461	0.010551813515410978	0.6641676657912233	0.01228561438041987	0.6664227804672633	0.0068543474310984315	0.6124345965880779	0.008339286519858824	0.7143277389176265	0.00902624786210523	0.7303937776738992	0.6626634491342964	0.6698699830412662	0.6411012782694199	0.33817862609139626	0.6739018087855297	0.6667336683417086	0.6113455227379277	0.7243939724830749
models/cv_results_lr_handcrafted_sparse_20260506_153010.json	20260506_153010	lr	sklearn.linear_model.LogisticRegression	handcrafted_sparse	['handcrafted', 'sparse']	none	631	5	4	0.7342829079179868	True	0.7266766774214068	0.0077625212647741216	0.6720266918663687	0.00802325848248462	0.665362722507495	0.00487856775529788	0.6371639650602184	0.0070607413682698865	0.3286703198201461	0.010551813515410978	0.6641676657912233	0.01228561438041987	0.6664227804672633	0.0068543474310984315	0.6124345965880779	0.008339286519858824	0.7143277389176265	0.00902624786210523	0.7303937776738992	0.6626634491342964	0.6698699830412662	0.6411012782694199	0.33817862609139626	0.6739018087855297	0.6667336683417086	0.6113455227379277	0.7243939724830749
models/cv_results_lr_handcrafted_blosum_20260506_153045.json	20260506_153045	lr	sklearn.linear_model.LogisticRegression	handcrafted_blosum	['handcrafted', 'blosum']	none	631	5	4	0.7337487572347667	True	0.7264864389898054	0.0076388125378942405	0.6720281653455898	0.008014516276888949	0.6657923412062978	0.005176614403908042	0.6377077736190179	0.007394108638660043	0.3295779245064058	0.011203987638369137	0.6648855121863383	0.012736677974158712	0.6666240677108382	0.006719096466956124	0.6128290876785928	0.008335013650995024	0.7148294256653418	0.009384062467058266	0.7300575227558983	0.6626002220782613	0.6690785754663652	0.6405501657865651	0.3367632758671558	0.6739018087855297	0.6653266331658292	0.6103440205944302	0.7239720034995626
models/cv_results_rf_handcrafted_blosum_esmc_20260506_154412.json	20260506_154412	rf	sklearn.ensemble.RandomForestClassifier	handcrafted_blosum_esmc	['handcrafted', 'blosum', 'esmc']	esmc_pca	781	5	3	0.7323733773788644	True	0.7195274541535325	0.010948926088788082	0.6609091549985439	0.011773216184250642	0.6491512466247722	0.009284003272709536	0.47363990127843225	0.015111123383682569	0.28372235054143935	0.015585793374136084	0.35701908718630715	0.017579195677003834	0.8811610015214603	0.009543415986348145	0.704841463302001	0.012484626233939755	0.6332461284490323	0.010361061375323746	0.7259006920909457	0.6600927318203862	0.6497456189937818	0.4634568756494631	0.27998504908236893	0.3457364341085271	0.8862311557788944	0.7027310924369747	0.6352110646880853
models/cv_results_lr_handcrafted_sparse_esmif_20260506_192303.json	20260506_192303	lr	sklearn.linear_model.LogisticRegression	handcrafted_sparse_esmif	['handcrafted', 'sparse', 'esmif']	esmif_full	2167	5	4	0.7275342797922126	True	0.7138051524218028	0.00803900172912354	0.6552610872804572	0.006384871114733019	0.6580371169922576	0.005340299141778149	0.6259305796293338	0.0047046837092577	0.31217160686380524	0.010776200402949911	0.6466091598836169	0.008940265361439518	0.6671673121923807	0.004257507145243064	0.6066029153852905	0.004132084457032824	0.7039727617950342	0.009967545534493456	0.7229676028722424	0.6573669681682507	0.665799886941775	0.6302226670002502	0.326463856437238	0.6509043927648579	0.6773869346733669	0.6108147429679922	0.71383181529337
models/cv_results_lr_handcrafted_blosum_esmif_20260506_192932.json	20260506_192932	lr	sklearn.linear_model.LogisticRegression	handcrafted_blosum_esmif	['handcrafted', 'blosum', 'esmif']	esmif_full	2167	5	4	0.7275400110227193	True	0.7137979555115443	0.008030453260951292	0.6556025803987191	0.006141900156214979	0.6580371067676838	0.005050171844777772	0.6260743793979705	0.0046076257689002115	0.31224693185446684	0.01027825622517917	0.6470172375828864	0.009203086343198772	0.6668455820976578	0.0040952739388940215	0.6065207432709687	0.00394792740952258	0.7041193762400371	0.009868115299893178	0.7229372183917	0.6569834502842412	0.6661390616167326	0.6313818499563101	0.32755131766463297	0.6534883720930232	0.6759798994974875	0.6107220478145375	0.7149234693877551
models/cv_results_lr_handcrafted_blosum_esmc_20260506_180210.json	20260506_180210	lr	sklearn.linear_model.LogisticRegression	handcrafted_blosum_esmc	['handcrafted', 'blosum', 'esmc']	esmc_full	4087	5	0	0.7264954375150701	True	0.7183681539786593	0.0074655199965958	0.6587200379687876	0.00761257627152624	0.6614963075868766	0.0063276491379565345	0.6300194343413772	0.00911899017013137	0.3193476584856377	0.013715117844671254	0.6515253363717829	0.014181582520513566	0.6694728292469977	0.004738676384508724	0.6100135089349573	0.007777902945635805	0.7076930911826629	0.010205814647458882	0.7210896861568825	0.6565771017094704	0.6655737704918033	0.632455268389662	0.32730161878573827	0.6576227390180879	0.6717587939698493	0.6091431306845381	0.7160917077351617
models/cv_results_lr_handcrafted_sparse_esmc_20260506_175318.json	20260506_175318	lr	sklearn.linear_model.LogisticRegression	handcrafted_sparse_esmc	['handcrafted', 'sparse', 'esmc']	esmc_full	4087	5	0	0.726531367885218	True	0.7183482837089581	0.0074623352126804935	0.6585966646570839	0.00768038320161315	0.6612928130064759	0.005972079940424635	0.6296096769862347	0.008710544831315972	0.3188464883612932	0.01298224838712943	0.6507594427203366	0.013539207438432569	0.6697204303818964	0.004424216800264039	0.6099141444233027	0.007745783465800651	0.7073082451243242	0.009825485321899181	0.7209877812836795	0.6565424780098854	0.6650084793668739	0.6320625853719111	0.3262826930425109	0.6576227390180879	0.6707537688442211	0.608415013148458	0.7157872157872158
models/cv_results_rf_handcrafted_blosum_20260506_152722.json	20260506_152722	rf	sklearn.ensemble.RandomForestClassifier	handcrafted_blosum	['handcrafted', 'blosum']	none	631	5	3	0.7296165206763089	True	0.71615829414499	0.010689272610073842	0.6582967272668782	0.011768748378702499	0.6517287773314041	0.007224222608761773	0.4873421083165903	0.013222190952659455	0.2878655239915676	0.011238971393630916	0.37441114478394233	0.017146421707079335	0.8719716924462126	0.010147620112798543	0.6992663909236826	0.0113293608124033	0.6371805586465749	0.00922396773624554	0.7204125277550543	0.6531497087561324	0.6525720746184285	0.473350471293916	0.2857660383068386	0.35684754521963824	0.8826130653266332	0.7027989821882952	0.6382267441860465
models/cv_results_rf_handcrafted_sparse_20260506_152356.json	20260506_152356	rf	sklearn.ensemble.RandomForestClassifier	handcrafted_sparse	['handcrafted', 'sparse']	none	631	5	4	0.7285921607395497	True	0.7098787123136543	0.01316218980282405	0.6471687888244022	0.008941424188016026	0.6502590306311616	0.008176054139938974	0.5103292368058235	0.023669816066793095	0.2809066090933821	0.013788825456891538	0.41311565466414635	0.03304542599381573	0.8386472704083759	0.015738076041401563	0.6705021436801815	0.00622553014327227	0.6431314764604087	0.012173459825403575	0.7083559658758911	0.6315264727166402	0.6534765404183154	0.5166377542974294	0.28284062499036305	0.4232558139534884	0.8325628140703517	0.6628895184135978	0.6498274239096329
models/cv_results_lr_all_blosum_20260506_213642.json	20260506_213642	lr	sklearn.linear_model.LogisticRegression	all_blosum	['handcrafted', 'blosum', 'esmc', 'esmif']	all_full	5623	5	4	0.7089549330420339	True	0.7018920910813657	0.00602664185427574	0.6384265330263608	0.005445442456445818	0.6492188054962708	0.0053557543048383	0.6149120456137915	0.006835545773724465	0.29372346479726896	0.011162364210391925	0.6330113980356897	0.00977505993671746	0.6621021480254106	0.0032289099022056364	0.5978717733574832	0.0060545729441874325	0.6944687232187128	0.008781197301503098	0.7055315855764611	0.6424709390263046	0.6496325607687959	0.6141202838998879	0.29469847921582004	0.6372093023255814	0.6592964824120603	0.5926459985580389	0.7002561912894961
models/cv_results_lr_all_sparse_20260506_212443.json	20260506_212443	lr	sklearn.linear_model.LogisticRegression	all_sparse	['handcrafted', 'sparse', 'esmc', 'esmif']	all_full	5623	5	4	0.7092497788005535	True	0.7018972011501238	0.00602090727909119	0.6383702015439623	0.005645043679735822	0.6488118853513425	0.005429932912604632	0.6144014154995389	0.006111348117055884	0.29286910472063865	0.011026677961527412	0.6323587769858486	0.009274093588547966	0.6618891949707968	0.004560842000478124	0.5974895268869381	0.0052931943995441315	0.6940077413918478	0.009075767038374625	0.705512627738174	0.6422915908459812	0.6492933860938384	0.6126373626373627	0.2934521344133301	0.6338501291989664	0.6613065326633166	0.5927984533591106	0.6989589972381559
