feature,n_0,n_1,mean_0,mean_1,median_0,median_1,sd_0,sd_1,pooled_sd,smd,smd_se,smd_ci_low,smd_ci_high,wilcox_statistic,p_value,median_diff,mean_diff,group,p_adj,direction,abs_smd
protein_length,25016,21601,969.2410457307324,848.2395722420258,824,691,579.2742785985429,568.9963592286392,574.5346574301606,-0.2106077882750098,0.009313663896008023,-0.22886256951118553,-0.1923530070388341,230838840,2.1215790152637882e-162,-133,-121.00147348870655,peptide,1.272947409158273e-161,Lower in presented,0.2106077882750098
mean_plddt_peptide,25016,21601,81.51969281881817,83.83414620722291,89.90333333333334,91.18666666666668,19.960945967613647,18.26284313843155,19.19278428494725,0.1205897671772381,0.009296480414534491,0.1023686655647505,0.1388108687897257,291299181.5,4.198580808321644e-48,1.2833333333333456,2.3144533884047434,peptide,1.2595742424964933e-47,Higher in presented,0.1205897671772381
rel_distance_from_n_terminus,25016,21601,0.4976018920738096,0.4933688542152706,0.5,0.4923312883435582,0.280482868004655,0.2808475393936773,0.28065190475708557,-0.015082875928466835,0.009288218857785845,-0.03328778488972709,0.0031220330327934188,267808781,0.1009527596220737,-0.0076687116564417845,-0.004233037858539013,peptide,0.2019055192441474,Lower in presented,0.015082875928466835
mean_disorder_peptide,25016,21601,0.1365162255300045,0.12840839985395208,0.00644534048883037,0.00609062819664056,0.28057743889444153,0.27299850993081376,0.2770913636033315,-0.02926047773780179,0.00928858185617998,-0.047466098175914545,-0.011054857299689028,268322856,0.19863742990852262,-3.547122921898106e-4,-0.008107825676052421,peptide,0.29795614486278393,Lower in presented,0.02926047773780179
rel_distance_from_c_terminus,25016,21601,0.48888494615687306,0.49017160573554397,0.4852820833734476,0.492176386913229,0.2805434871378398,0.2808960559418504,0.2807069120572732,0.004583640528268831,0.009288099632113493,-0.013621034750673614,0.022788315807211277,270949370,0.5979528241858019,0.006894303539781432,0.0012866595786709123,peptide,0.7175433890229622,Higher in presented,0.004583640528268831
mean_rsa_peptide,25016,21601,0.3118742177101226,0.31284936327298596,0.2995569881879621,0.2984005499424206,0.14421294175735652,0.1447535145959172,0.14446367857129483,0.006750108902855673,0.009288113810051854,-0.011454594164845962,0.02495481197055731,270223578.5,0.9789275045670913,-0.0011564382455415134,9.751455628633776e-4,peptide,0.9789275045670913,Higher in presented,0.006750108902855673
