term,estimate,std.error,statistic,p.value,odds_ratio,conf_low,conf_high
(Intercept),-0.40240908449334695,0.11634506929729498,-3.458754951317073,5.426783954224863e-4,0.6687071320103097,0.5323546266236353,0.8399837364757121
mean_plddt_peptide,-0.002933435476762228,0.003782345354042289,-0.7755599243805674,0.43800887053307064,0.9970708628411127,0.9897065119592292,1.0044900114466204
I(mean_plddt_peptide^2),6.913735567469945e-5,2.796788907513638e-5,2.472026240127038,0.013434965462061878,1.0000691397457167,1.0000143203956233,1.0001239621009284
