feature,n_0,n_1,mean_0,mean_1,median_0,median_1,sd_0,sd_1,pooled_sd,smd,smd_se,smd_ci_low,smd_ci_high,wilcox_statistic,p_value,median_diff,mean_diff,group,p_adj,direction,abs_smd
mean_plddt_nflank,24996,21584,79.37326131307994,81.88814139313219,88.4375,89.788,20.83251588206644,19.047193604461988,20.025044473690368,0.12558674131068182,0.009300877593579492,0.10735702122726601,0.14381646139409762,289725662,2.595547441601328e-43,1.3504999999999967,2.514880080052251,n_flank,7.786642324803983e-43,Higher in presented,0.12558674131068182
mean_disorder_nflank,24996,21584,0.16794375231464181,0.15374282826375923,0.01070143549004569,0.009973494807491075,0.30680909652474564,0.2943153321175095,0.30108428426053474,-0.0471659425391802,0.009293056383558653,-0.06538033305095517,-0.028951552027405243,266126911.5,0.01213085244137909,-7.279406825546151e-4,-0.01420092405088258,n_flank,0.018196278662068636,Lower in presented,0.0471659425391802
mean_rsa_nflank,24996,21584,0.3607322217629804,0.36033585768935844,0.3520299067720771,0.34973175181075933,0.15551899540067068,0.1537181815611563,0.15468715292540816,-0.0025623593564561295,0.009291775221951817,-0.02077423879148169,0.015649520078569432,268696621.5,0.46379216333445844,-0.0022981549613177443,-3.963640736219798e-4,n_flank,0.46379216333445844,Lower in presented,0.0025623593564561295
