feature,n,scaled,estimate,std_error,statistic,p_value,odds_ratio,conf_low,conf_high,p_adj
protein_length,46617,FALSE,-3.7054137571609344e-4,1.653952928518952e-5,-22.40338097456608,3.648149251737726e-111,0.999629527266261,0.9995971223238995,0.9996619332591259,2.0064820884557492e-109
PC5,46617,FALSE,-0.11752994979167262,0.006982830913923888,-16.83127534383166,1.4396738079296815e-63,0.8891138825721246,0.8770280541237692,0.9013662589987305,3.959102971806624e-62
PC2,46617,FALSE,0.07848512647703612,0.005716632553714942,13.729258569545934,6.782402114225147e-43,1.0816472671371675,1.0695954861543677,1.0938348428449245,1.2434403876079437e-41
mean_plddt_nflank,46580,FALSE,0.006317622191800724,4.694694977551751e-4,13.456938570043835,2.8029063614228315e-41,1.0063376204585301,1.0054120545165068,1.0072640384614664,3.853996246956393e-40
mean_plddt_peptide,46617,FALSE,0.006340826750797954,4.906110487253655e-4,12.924345603858232,3.2807602293018285e-38,1.0063609723501494,1.0053937231253747,1.0073291521268475,3.608836252232011e-37
q8trans_H_n_pep,46617,FALSE,0.19641441552569908,0.01861141187741392,10.553439836773475,4.8970720679085375e-26,1.2170311574490533,1.1734358253129114,1.262246137582182,4.488982728916159e-25
q8point_C_peptide,46617,FALSE,-0.19775890945010652,0.019044296209367678,-10.384154251540737,2.927524458123737e-25,0.8205676604006128,0.7905030768787372,0.8517756666475621,2.300197788525793e-24
mean_plddt_cflank,46494,FALSE,0.004854629559990686,4.7108968382532867e-4,10.305106918432738,6.68173367517089e-25,1.0048664323657603,1.0039390314514485,1.0057946899779684,4.593691901679987e-24
q8point_H_nflank,46617,FALSE,0.1927034498737166,0.01890324576931694,10.194199039960948,2.1047223820571592e-24,1.2125231662999185,1.1684207937726696,1.2582901953215562,1.286219233479375e-23
q8trans_C_n_pep,46617,FALSE,-0.16510928774994676,0.022100410227259136,-7.470869818800798,7.966643996901246e-14,0.84780104475615925,0.8118610356767865,0.8853320702729062,4.381654198295685e-13
PC1,46617,FALSE,0.025127384003506066,0.00354984868119404,7.078438057549577,1.457882621404147e-12,1.0254457375884223,1.0183357535407296,1.0326053632921037,7.289413107020736e-12
q8point_H_peptide,46617,FALSE,0.13368675689219175,0.019274678488523204,6.935874804438028,4.037150170654899e-12,1.1430347158140823,1.1006582248332024,1.1870427459479311,1.850360494883495e-11
