model,region,n_samples,emb_dim,n_zero_vecs,norm_median,norm_std,value_mean,value_std
ESM-IF,peptide,53198,512,6321,5.453,2.056,0.004014,0.242464
ESM-IF,n_flank,53198,512,6354,5.346,2.035,0.004259,0.238454
ESM-IF,c_flank,53198,512,6456,5.342,2.049,0.004135,0.238456
