feature,lr_coef_mean,lr_coef_std,lr_coef_abs_mean,rf_imp_mean,rf_imp_std,feature_type
rel_distance_from_n_terminus,-9.4173018404007,0.26942363069624065,9.4173018404007,0.026370483809036498,9.492822305352682e-05,handcrafted
rel_distance_from_c_terminus,-9.391246936172479,0.26101939529698337,9.391246936172479,0.02698956537997092,0.00011157245005964692,handcrafted
mean_rsa_peptide,-0.09398423480681778,0.007749894611524939,0.09398423480681778,0.02724082299418517,0.00017567493209830965,handcrafted
mean_disorder_peptide,0.13842723018682554,0.003999512791953363,0.13842723018682554,0.026429855174145568,0.00015303265946579832,handcrafted
mean_rsa_nflank,-0.025631653617401644,0.007029566821620562,0.025631653617401644,0.0267229159558543,4.637275877244715e-05,handcrafted
mean_disorder_nflank,-0.03107170817033089,0.009702375365238448,0.03107170817033089,0.02640340347456994,0.0001000054998532355,handcrafted
mean_rsa_cflank,0.061655642104236554,0.015745329373573685,0.061655642104236554,0.02824161752212695,0.0001831353318920556,handcrafted
mean_disorder_cflank,0.016493982050251082,0.018689847949419757,0.016493982050251082,0.026915298747454554,0.00016946126100349864,handcrafted
q8point_H_peptide,0.00781392683718068,0.01582511718499086,0.00781392683718068,0.002713879337950286,5.6130229275755966e-05,handcrafted
q8point_G_peptide,0.029102179429204723,0.008578475986032954,0.029102179429204723,0.0016536468818403316,2.1843458136320138e-05,handcrafted
q8point_I_peptide,0.01570987880918443,0.010905887300915983,0.01570987880918443,5.1771820644560935e-05,5.085327163803361e-06,handcrafted
q8point_E_peptide,0.01831341146422033,0.00864928967751942,0.01831341146422033,0.0026784899123729914,2.4536392231973894e-05,handcrafted
q8point_B_peptide,-0.0061301349089793586,0.004801836049148821,0.0061301349089793586,0.0002531988138915164,1.0765737806227803e-05,handcrafted
q8point_T_peptide,0.04416477221517482,0.002821133227646795,0.04416477221517482,0.0030105575349721877,3.4168044024127004e-05,handcrafted
q8point_S_peptide,0.010865681762513237,0.0024631163229425165,0.010865681762513237,0.0025926054076177473,1.8204641280839273e-05,handcrafted
q8point_C_peptide,-0.06036899932011632,0.012468688003105521,0.06036899932011632,0.003510245670065143,2.986960433726539e-05,handcrafted
