component_idx,explained_variance_ratio,cumulative_variance
227,0.00016760,0.95160097
228,0.00016567,0.95176661
229,0.00016519,0.95193183
230,0.00016453,0.95209634
231,0.00016379,0.95226014
232,0.00016249,0.95242262
233,0.00016186,0.95258451
234,0.00016039,0.95274490
235,0.00015979,0.95290470
236,0.00015927,0.95306396
237,0.00015842,0.95322239
238,0.00015783,0.95338023
239,0.00015721,0.95353746
240,0.00015609,0.95369357
241,0.00015474,0.95384830
242,0.00015448,0.95400280
243,0.00015410,0.95415688
244,0.00015324,0.95431012
245,0.00015261,0.95446271
246,0.00015242,0.95461512
247,0.00015132,0.95476645
248,0.00015101,0.95491749
249,0.00014985,0.95506734
250,0.00014928,0.95521659
251,0.00014846,0.95536506
252,0.00014770,0.95551276
253,0.00014711,0.95565987
254,0.00014654,0.95580643
255,0.00014571,0.95595217
256,0.00014506,0.95609725
257,0.00014381,0.95624107
258,0.00014346,0.95638454
259,0.00014286,0.95652741
260,0.00014230,0.95666969
261,0.00014147,0.95681119
262,0.00014085,0.95695204
263,0.00014013,0.95709217
264,0.00013916,0.95723134
265,0.00013863,0.95736998
266,0.00013823,0.95750821
267,0.00013745,0.95764565
268,0.00013711,0.95778275
269,0.00013683,0.95791960
270,0.00013617,0.95805579
271,0.00013567,0.95819145
272,0.00013503,0.95832646
273,0.00013417,0.95846063
274,0.00013388,0.95859450
275,0.00013358,0.95872808
276,0.00013275,0.95886081
277,0.00013204,0.95899284
278,0.00013184,0.95912468
279,0.00013098,0.95925564
280,0.00013040,0.95938605
281,0.00013000,0.95951605
282,0.00012928,0.95964533
283,0.00012884,0.95977420
284,0.00012796,0.95990217
285,0.00012782,0.96002996
286,0.00012723,0.96015722
287,0.00012686,0.96028405
288,0.00012620,0.96041024
289,0.00012593,0.96053618
290,0.00012515,0.96066135
291,0.00012493,0.96078628
292,0.00012415,0.96091044
293,0.00012347,0.96103394
294,0.00012296,0.96115690
295,0.00012239,0.96127927
296,0.00012215,0.96140140
297,0.00012183,0.96152323
298,0.00012150,0.96164471
299,0.00012084,0.96176553
300,0.00012017,0.96188569
301,0.00011998,0.96200567
302,0.00011936,0.96212506
303,0.00011911,0.96224415
304,0.00011888,0.96236300
305,0.00011836,0.96248138
306,0.00011787,0.96259922
307,0.00011764,0.96271688
308,0.00011673,0.96283358
309,0.00011666,0.96295023
310,0.00011562,0.96306586
311,0.00011546,0.96318132
312,0.00011508,0.96329641
313,0.00011462,0.96341103
314,0.00011447,0.96352547
315,0.00011412,0.96363962
316,0.00011353,0.96375316
317,0.00011321,0.96386635
318,0.00011246,0.96397883
319,0.00011201,0.96409082
320,0.00011166,0.96420246
321,0.00011134,0.96431381
322,0.00011116,0.96442497
323,0.00011069,0.96453565
324,0.00011004,0.96464568
325,0.00010989,0.96475559
326,0.00010933,0.96486491
327,0.00010856,0.96497345
328,0.00010849,0.96508193
329,0.00010833,0.96519029
330,0.00010772,0.96529800
331,0.00010722,0.96540523
332,0.00010680,0.96551204
333,0.00010635,0.96561837
334,0.00010617,0.96572453
335,0.00010581,0.96583033
336,0.00010543,0.96593577
337,0.00010514,0.96604091
338,0.00010446,0.96614540
339,0.00010420,0.96624959
340,0.00010396,0.96635354
341,0.00010342,0.96645695
342,0.00010286,0.96655983
343,0.00010268,0.96666253
344,0.00010231,0.96676487
345,0.00010210,0.96686697
346,0.00010186,0.96696883
347,0.00010162,0.96707046
348,0.00010111,0.96717155
349,0.00010058,0.96727210
350,0.00010025,0.96737236
351,0.00010016,0.96747249
352,0.00009975,0.96757227
353,0.00009931,0.96767157
354,0.00009915,0.96777070
355,0.00009870,0.96786940
356,0.00009823,0.96796763
357,0.00009765,0.96806526
358,0.00009751,0.96816278
359,0.00009704,0.96825981
360,0.00009675,0.96835655
361,0.00009652,0.96845305
362,0.00009616,0.96854919
363,0.00009592,0.96864510
364,0.00009564,0.96874076
365,0.00009544,0.96883619
366,0.00009501,0.96893120
367,0.00009469,0.96902591
368,0.00009443,0.96912032
369,0.00009424,0.96921456
370,0.00009353,0.96930808
371,0.00009334,0.96940142
372,0.00009313,0.96949452
373,0.00009284,0.96958739
374,0.00009222,0.96967959
375,0.00009199,0.96977156
376,0.00009194,0.96986353
377,0.00009140,0.96995491
378,0.00009112,0.97004604
379,0.00009083,0.97013688
380,0.00009064,0.97022754
381,0.00009057,0.97031808
382,0.00009020,0.97040826
383,0.00008983,0.97049809
384,0.00008946,0.97058755
385,0.00008929,0.97067684
386,0.00008904,0.97076589
387,0.00008873,0.97085464
388,0.00008865,0.97094327
389,0.00008838,0.97103167
390,0.00008790,0.97111958
391,0.00008772,0.97120732
392,0.00008719,0.97129452
393,0.00008716,0.97138166
394,0.00008683,0.97146851
395,0.00008649,0.97155499
396,0.00008582,0.97164083
397,0.00008577,0.97172660
398,0.00008541,0.97181201
399,0.00008512,0.97189713
400,0.00008478,0.97198188
401,0.00008474,0.97206664
402,0.00008447,0.97215110
403,0.00008430,0.97223538
404,0.00008401,0.97231936
405,0.00008361,0.97240299
406,0.00008356,0.97248656
407,0.00008317,0.97256970
408,0.00008307,0.97265279
409,0.00008241,0.97273523
410,0.00008223,0.97281748
411,0.00008193,0.97289944
412,0.00008167,0.97298110
413,0.00008160,0.97306269
414,0.00008129,0.97314399
415,0.00008120,0.97322518
416,0.00008091,0.97330606
417,0.00008061,0.97338665
418,0.00008030,0.97346693
419,0.00007993,0.97354686
420,0.00007979,0.97362667
421,0.00007946,0.97370613
422,0.00007941,0.97378552
423,0.00007913,0.97386467
424,0.00007883,0.97394353
425,0.00007850,0.97402203
426,0.00007833,0.97410035
427,0.00007812,0.97417849
428,0.00007790,0.97425640
429,0.00007779,0.97433418
430,0.00007752,0.97441173
431,0.00007734,0.97448909
432,0.00007701,0.97456610
433,0.00007684,0.97464293
434,0.00007676,0.97471970
